timestamp_utc,location,last_count,status,is_closed,updated
2025-01-30T01:14:36.903778,Marino Center - 2nd Floor,78,(Open),False,01/29/2025 08:00 PM
2025-01-30T01:14:36.903778,Marino Center - Gymnasium,61,(Open),False,01/29/2025 08:00 PM
2025-01-30T01:14:36.903778,Marino Center - 3rd Floor Weight Room,76,(Open),False,01/29/2025 08:01 PM
2025-01-30T01:14:36.903778,Marino Center - 3rd Floor Select & Cardio,71,(Open),False,01/29/2025 08:01 PM
2025-01-30T03:18:56.237972,SquashBusters - 4th Floor,49,(Open),False,01/29/2025 06:34 PM
2025-01-30T03:18:56.237972,Marino Center - Studio A,11,(Open),False,01/29/2025 09:57 PM
2025-01-30T03:18:56.237972,Marino Center - Studio B,4,(Open),False,01/29/2025 09:57 PM
2025-01-30T03:18:56.237972,Marino Center - 2nd Floor,64,(Open),False,01/29/2025 09:57 PM
2025-01-30T03:18:56.237972,Marino Center - Gymnasium,57,(Open),False,01/29/2025 09:57 PM
2025-01-30T03:18:56.237972,Marino Center - 3rd Floor Weight Room,76,(Open),False,01/29/2025 08:01 PM
2025-01-30T03:18:56.237972,Marino Center - 3rd Floor Select & Cardio,71,(Open),False,01/29/2025 08:01 PM
2025-01-30T04:19:26.875072,SquashBusters - 4th Floor,49,(Open),False,01/29/2025 06:34 PM
2025-01-30T04:19:26.875072,Marino Center - Studio A,8,(Open),False,01/29/2025 11:00 PM
2025-01-30T04:19:26.875072,Marino Center - Studio B,3,(Open),False,01/29/2025 11:00 PM
2025-01-30T04:19:26.875072,Marino Center - 2nd Floor,60,(Open),False,01/29/2025 11:00 PM
2025-01-30T04:19:26.875072,Marino Center - Gymnasium,55,(Open),False,01/29/2025 11:00 PM
2025-01-30T04:19:26.875072,Marino Center - 3rd Floor Weight Room,49,(Open),False,01/29/2025 11:00 PM
2025-01-30T04:19:26.875072,Marino Center - 3rd Floor Select & Cardio,62,(Open),False,01/29/2025 11:00 PM
